video_id,views,likes,comments,snapshot_date
pzNn2oBpfqM,260,1,0,2026-01-07
547o46Igo5w,337,5,0,2026-01-07
g5qkczZtoh0,2878,57,0,2026-01-07
506wBwxtWJE,280,14,2,2026-01-07
xV6Bbo8_Fcc,917,10,0,2026-01-07
Ob4jJ58JNwg,1451,29,3,2026-01-07
H-JiSqdIhRI,622,13,0,2026-01-07
vwLCgC7waAQ,2894,17,0,2026-01-07
OE-5LlsWorU,7905,360,5,2026-01-07
2qrQbEZDti8,900,9,0,2026-01-07
KigkKJbmr_o,932,3,0,2026-01-07
KT7Qysi5cOg,1056,4,0,2026-01-07
6Iljj9Z1FJI,1237,13,0,2026-01-07
rhn4VSLqgRQ,5358,48,3,2026-01-07
3DiL-uiZ4-E,1044,13,0,2026-01-07
xWulMwfFuKU,492,6,0,2026-01-07
lm3IEFcpZ64,2113,29,1,2026-01-07
8JvWVyMPbpc,2333,5,1,2026-01-07
kOK0yQSCRHc,375,11,0,2026-01-07
w_FOQHzdogs,1697,21,4,2026-01-07
G60qKqEtctE,364,4,0,2026-01-07
cgwCsa4Sktk,640,13,1,2026-01-07
CVvxqEnUL6g,349,3,0,2026-01-07
6k__5MXk-qA,1281,49,2,2026-01-07
vA0vVeyCCIs,620,16,1,2026-01-07
GzlG1YSU-_g,375,10,0,2026-01-07
y2mxHgud95I,541,6,0,2026-01-07
NOpwIwdKEJg,231,2,1,2026-01-07
KcjmiXOV6Dk,239,3,0,2026-01-07
Z0_Kh7m7b94,93161,2047,408,2026-01-07
p077qggGGho,14794,612,14,2026-01-07
ckqR0kQmzgo,1797,46,1,2026-01-07
sVyInmFx4eo,5700,98,28,2026-01-07
UdPGTekCDOg,936,24,1,2026-01-07
8Mc23zyZDjA,925,28,16,2026-01-07
XQYQhSve-G0,869,10,0,2026-01-07
SblPX_5_IpE,864,7,2,2026-01-07
ai0An3mvx-s,30225,625,102,2026-01-07
NhF8fqj5UFg,10999,672,50,2026-01-07
IM9Po_FEk44,17307,332,4,2026-01-07
eY-tdOScxS8,1580,44,1,2026-01-07
ZJ3ZGksOJzk,680,11,0,2026-01-07
wWL3X1a1XlU,3095,11,0,2026-01-07
wHxFAguta_E,196,3,0,2026-01-07
jutIKr6o078,786,2,0,2026-01-07
b0Pa2L1rgus,201,2,0,2026-01-07
pmrWxUXwmzs,20345,881,304,2026-01-07
DeUi3wFh1Ss,15719,158,13,2026-01-07
IIQTefxKOuw,515,12,6,2026-01-07
zOn76-eW0h4,311,6,0,2026-01-07
bLQoOONt6Us,717,9,0,2026-01-07
BnWN6ltaM7s,1685,41,1,2026-01-07
q84Ok56HDns,793,14,0,2026-01-07
9aSfxdL9fyo,2037,26,0,2026-01-07
qYgHk0b3CmE,370,5,0,2026-01-07
5rJah_UnD3s,485,8,0,2026-01-07
nxggwYgAJTE,443,9,0,2026-01-07
n9ZyNx5l2pw,14261,122,3,2026-01-07
9nclRiFHBBk,3037,14,0,2026-01-07
8qfpTsa1PFc,999,30,1,2026-01-07
CN5oN2-lr3c,513,21,0,2026-01-07
2_NIe8n3CAw,210,3,0,2026-01-07
V4TWjLjYmWQ,302,2,0,2026-01-07
JRp-oa_f36k,482,10,0,2026-01-07
9qZz1TAm0LI,327,9,0,2026-01-07
mBAHM0YbdOw,794,30,1,2026-01-07
l_G4MiZy7sM,599,20,0,2026-01-07
z4v4U9sknbw,209,4,0,2026-01-07
ZELw7qEypXo,398,9,0,2026-01-07
KZ785Ee5Y4c,175,3,0,2026-01-07
tvc3UnkQHCM,201,12,1,2026-01-07
fhZLjDK6VFA,404,3,0,2026-01-07
l2NT2lXIV3Y,200,3,0,2026-01-07
i87J_pgViFU,189,0,0,2026-01-07
6-14rEEDTQs,296,2,0,2026-01-07
UJCHWPIYfnU,169,0,0,2026-01-07
uzbXU3tB-cY,279,3,0,2026-01-07
K3O6852n2o8,348,4,0,2026-01-07
ZBxr34-P_ao,162,4,0,2026-01-07
ODTcJSauIYE,310,7,0,2026-01-07
rMmBCjRMPVc,120,0,0,2026-01-07
zNkf8_YP-9s,285,5,0,2026-01-07
DkdXt10wBpQ,9328,700,3,2026-01-07
RYxkYlaQ2_w,1125,14,0,2026-01-07
H5Ls1OigF1Y,715,16,0,2026-01-07
rXOn44STlvU,1613,38,0,2026-01-07
i9Ypeqjyblg,1627,22,0,2026-01-07
HpNQQ8d15BI,1487,24,2,2026-01-07
